       [,1]                 
[193,] "sub-NDARINV6A87F2YX"
[194,] "sub-NDARINV6B3HFDAY"
[195,] "sub-NDARINV6CG6LPAT"
[196,] "sub-NDARINV6ELMHVPX"
[197,] "sub-NDARINV6EPGL57G"
[198,] "sub-NDARINV6ETG8KHZ"
[199,] "sub-NDARINV6F1LPHLT"
[200,] "sub-NDARINV6JHNJJUB"
[201,] "sub-NDARINV6KEGPJ6J"
[202,] "sub-NDARINV6KL1B4H0"
[203,] "sub-NDARINV6KM1LGCB"
[204,] "sub-NDARINV6MDP38L0"
[205,] "sub-NDARINV6MDZCZBV"
[206,] "sub-NDARINV6R9H00F3"
[207,] "sub-NDARINV6UH8VGPA"
[208,] "sub-NDARINV6UU2L6YJ"
[209,] "sub-NDARINV6UWU0UNB"
[210,] "sub-NDARINV6VXADERG"
[211,] "sub-NDARINV6XE6J751"
[212,] "sub-NDARINV6YVYFKU7"
[213,] "sub-NDARINV6ZU9NKBV"
[214,] "sub-NDARINV723AA4WA"
[215,] "sub-NDARINV725NP8B2"
[216,] "sub-NDARINV72PBFKDM"
[217,] "sub-NDARINV75RAY395"
[218,] "sub-NDARINV78TL163B"
[219,] "sub-NDARINV7BKAZZAM"
[220,] "sub-NDARINV7CN47GEF"
[221,] "sub-NDARINV7DY4B12E"
[222,] "sub-NDARINV7G30XLFU"
[223,] "sub-NDARINV7HLNGBZN"
[224,] "sub-NDARINV7J8EL4J8"
[225,] "sub-NDARINV7J9K5U1L"
[226,] "sub-NDARINV7JACC03N"
[227,] "sub-NDARINV7L18GGXH"
[228,] "sub-NDARINV7LB64CGV"
[229,] "sub-NDARINV7N4ED3TP"
[230,] "sub-NDARINV7N9P7K46"
[231,] "sub-NDARINV7NW5NH08"
[232,] "sub-NDARINV7PXH7ZBR"
[233,] "sub-NDARINV7U0R6TL7"
[234,] "sub-NDARINV7W42V487"
[235,] "sub-NDARINV7W4K75L0"
[236,] "sub-NDARINV7XUV8V0N"
[237,] "sub-NDARINV7Y7JEGPW"
[238,] "sub-NDARINV7ZE3WGCX"
[239,] "sub-NDARINV7ZTZMB99"
[240,] "sub-NDARINV80VAXPN1"
[241,] "sub-NDARINV84V3NTN5"
[242,] "sub-NDARINV85UUUHN0"
[243,] "sub-NDARINV8666P5JN"
[244,] "sub-NDARINV86PXMUHA"
[245,] "sub-NDARINV87WRYJ7F"
